time,open,high,low,close
1628965740,3245.95,3245.95,3245.95,3245.95
1628965800,3245.95,3245.95,3245.95,3245.95
1628965860,3245.95,3245.95,3245.95,3245.95
1628965920,3245.95,3245.95,3245.95,3245.95
1628965980,3245.95,3245.95,3245.95,3245.95
1628966040,3258.62,3258.62,3258.61,3258.61
1628966100,3258.61,3258.61,3258.61,3258.61
1628966160,3261.16,3261.16,3261.16,3261.16
1628966220,3261.16,3261.16,3261.16,3261.16
1628966280,3260.70,3260.70,3260.70,3260.70
1628966340,3259.89,3259.89,3259.89,3259.89
1628966400,3259.89,3259.89,3259.89,3259.89
1628966460,3258.50,3258.50,3258.50,3258.50
1628966520,3258.50,3258.50,3258.50,3258.50
1628966580,3256.99,3257.97,3256.99,3257.97
1628966640,3257.97,3257.97,3257.97,3257.97
1628966700,3257.97,3257.97,3257.97,3257.97
1628966760,3257.97,3257.97,3257.97,3257.97
1628966820,3251.37,3251.37,3251.37,3251.37
1628966880,3251.37,3251.37,3251.37,3251.37
1628966940,3251.37,3251.37,3251.37,3251.37
1628967000,3251.75,3251.75,3251.75,3251.75
1628967060,3251.75,3251.75,3251.75,3251.75
1628967120,3251.75,3251.75,3251.75,3251.75
1628967180,3251.01,3251.01,3251.01,3251.01
1628967240,3251.01,3251.01,3244.22,3245.38
1628967300,3246.21,3250.64,3246.21,3249.49
1628967360,3249.34,3249.94,3247.65,3248.27
1628967420,3247.93,3250.34,3247.93,3250.17
1628967480,3250.18,3250.34,3247.99,3250.34
1628967540,3249.29,3250.29,3248.28,3248.62
1628967600,3247.98,3250.68,3246.71,3250.00
1628967660,3250.00,3252.93,3249.80,3252.59
1628967720,3252.92,3252.94,3249.71,3251.41
1628967780,3251.41,3252.40,3251.28,3252.39
1628967840,3251.07,3252.71,3249.98,3252.52
1628967900,3252.51,3254.68,3251.29,3253.80
1628967960,3253.82,3254.15,3252.54,3253.83
1628968020,3253.58,3253.58,3251.53,3251.53
1628968080,3250.43,3251.62,3250.28,3250.28
1628968140,3250.42,3250.42,3246.58,3246.58
1628968200,3247.54,3247.78,3247.54,3247.78
1628968260,3247.78,3247.78,3247.78,3247.78
1628968320,3247.78,3247.78,3247.78,3247.78
1628968380,3247.78,3247.78,3247.78,3247.78
1628968440,3249.60,3249.60,3249.58,3249.58
1628968500,3249.58,3249.58,3249.58,3249.58
